Causes;Causes Label;Mitigating Actions;Mitigating Actions Label;Cluster;Paper ID
Poor coordination, collaboration, communication, and clarity of responsibilities among project stakeholders, leading to misunderstandings, conflicting actions, and increased errors and rework.;C082;Improve documentation preparation and implement robust document auditing and control systems to ensure document accuracy and consistency throughout the project lifecycle.;A19;Management and Supervision;65
Subcontractors lacking skilled craftsmanship, adequate knowledge, or supervision, engaging in careless, unsafe, shortcut, or deceptive practices that result in quality failures and necessitate rework.;C101;Increase investment in comprehensive training programs and hire skilled or experienced personnel to ensure critical tasks are adequately staffed, improving overall workforce competence and reducing errors.;A20;Contractor Selection & Performance;65
Designs lacking practical constructability or feasibility, often caused by inadequate consideration of construction methods, insufficient detailing, or poor communication between design and execution teams.;C026;Implement formal, robust communication protocols and enhance information management systems to ensure accurate and timely dissemination of critical project information.;A18;Design;65
Inadequate or ineffective quality management systems and procedures, including insufficient implementation, monitoring, and control measures, leading to recurring defects and rework.;C047;Implement comprehensive quality management systems, rigorous quality audits, and structured quality assurance processes to enhance project reliability and reduce rework.;A17;Management and Supervision;65
Ambiguous, incomplete, or erroneous contract and design documentation causing misunderstandings, misinterpretations, and subsequent rework during project execution.;C011;Strengthen subcontractor selection, training, and monitoring systems, and enforce clear accountability measures to ensure subcontractor adherence to quality standards.;A27;Documentation & Information Management;65
Subcontractors lacking skilled craftsmanship, adequate knowledge, or supervision, engaging in careless, unsafe, shortcut, or deceptive practices that result in quality failures and necessitate rework.;C101;Increase supervisory staffing levels, provide enhanced training, and strengthen accountability measures to improve oversight, timely intervention, and on-site quality control.;A21;Contractor Selection & Performance;68
Intense or excessive pressure from ambitious and overly optimistic schedules that leads to rushed work, overlooked errors, reduced quality, and cutting corners.;C061;Adopt realistic scheduling practices, ensure sufficient allocation of time and resources, and avoid overly compressed timelines to enhance quality and reduce schedule-driven errors.;A03;Time & Planning;68
Lack of clear emphasis, accountability, and vision regarding quality from project leadership, resulting in inadequate prioritization of quality management and subsequent defects.;C064;Adopt a structured error management culture focused on psychological safety, transparency, and collective learning to proactively manage errors rather than purely preventing them.;A01;Management and Supervision;68
Insufficient or ineffective supervisory oversight during project execution, resulting in failure to detect, monitor, or rectify errors promptly and consequently leading to rework.;C059;Increase supervisory staffing levels, provide enhanced training, and strengthen accountability measures to improve oversight, timely intervention, and on-site quality control.;A21;Management and Supervision;68
Ineffective communication and coordination among various stakeholders or between different disciplines (such as design teams, contractors, and operators), resulting in design changes, conflicts, misunderstandings, and ultimately rework.;C052;Strengthen communication through regular coordination meetings, clear work instructions, and structured interdisciplinary collaboration to ensure effective information flow among project stakeholders.;A25;Communication;68
Errors resulting from human limitations, intentional disregard of procedures, cognitive biases, negligence, fatigue, stress, or carelessness during project execution.;C032;Provide targeted training, mentorship, continuous education, and effective knowledge management practices to build workforce capability and reduce human errors.;A23;Human Resources;68
An organizational culture emphasizing zero-tolerance for errors, leading to error concealment, discouraging open reporting, and hindering learning and continuous improvement.;C013;Adopt a structured error management culture focused on psychological safety, transparency, and collective learning to proactively manage errors rather than purely preventing them.;A01;Management and Supervision;68
Inefficient or slow client decision-making, including delays in incorporating end-user feedback or selecting contractors, causing postponed actions, misaligned expectations, persistent errors, and ultimately leading to rework.;C054;Strengthen communication through regular coordination meetings, clear work instructions, and structured interdisciplinary collaboration to ensure effective information flow among project stakeholders.;A25;Client-Driven Influences;72
Client-initiated changes or modifications in the project scope, design, or specifications during construction, requiring adjustments, redesign, demolition, or rework, often resulting in delays, increased complexity, and material wastage.;C017;Employ virtual reality (VR) visualization tools to improve pre-construction understanding, stakeholder alignment, and early identification of constructability issues, reducing on-site errors.;A08;Client-Driven Influences;72
Budget reductions, cost fluctuations, or financial constraints imposed by the client after project commencement, leading contractors to adopt cost-saving measures or changes that compromise project quality.;C015;Implement advanced, ontology-based BIM technologies and automated compliance checking to enhance design quality, clarity, and reduce deviations from project specifications.;A16;Financial Constraints;72
Client-initiated changes or modifications in the project scope, design, or specifications during construction, requiring adjustments, redesign, demolition, or rework, often resulting in delays, increased complexity, and material wastage.;C017;Engage construction professionals and contractors early during the design stage to incorporate their insights, enhance constructability, and clarify client requirements, thereby reducing later-stage rework.;A12;Client-Driven Influences;72
Ineffective or inadequate communication channels and ambiguous information exchange among project stakeholders, resulting in misunderstandings, errors, documentation omissions, and conflicts during project execution.;C053;Strengthen communication through regular coordination meetings, clear work instructions, and structured interdisciplinary collaboration to ensure effective information flow among project stakeholders.;A25;Communication;72
Unrealistic, ambiguous, or unclear project objectives or expectations set by the client, often due to insufficient expertise, causing frequent decision changes, compromised quality, redefinition of scope, and subsequent rework.;C110;Employ virtual reality (VR) visualization tools to improve pre-construction understanding, stakeholder alignment, and early identification of constructability issues, reducing on-site errors.;A08;Client-Driven Influences;72
Unrealistic, ambiguous, or unclear project objectives or expectations set by the client, often due to insufficient expertise, causing frequent decision changes, compromised quality, redefinition of scope, and subsequent rework.;C110;Engage construction professionals and contractors early during the design stage to incorporate their insights, enhance constructability, and clarify client requirements, thereby reducing later-stage rework.;A12;Client-Driven Influences;72
Ambiguous decision-making roles and a blame-focused managerial approach, emphasizing error attribution over root-cause analysis and improvement, hindering open communication and effective error management.;C009;Implement comprehensive quality management systems, rigorous quality audits, and structured quality assurance processes to enhance project reliability and reduce rework.;A17;Management and Supervision;77
Inadequate or ineffective quality management systems and procedures, including insufficient implementation, monitoring, and control measures, leading to recurring defects and rework.;C047;Implement comprehensive quality management systems, rigorous quality audits, and structured quality assurance processes to enhance project reliability and reduce rework.;A17;Management and Supervision;77
An organizational environment where fear of blame or embarrassment prevents open reporting of errors, resulting in concealed mistakes and missed learning opportunities.;C014;Adopt a structured error management culture focused on psychological safety, transparency, and collective learning to proactively manage errors rather than purely preventing them.;A01;Safety Culture;77
Subcontractors lacking skilled craftsmanship, adequate knowledge, or supervision, engaging in careless, unsafe, shortcut, or deceptive practices that result in quality failures and necessitate rework.;C101;Revise procurement and contractor selection strategies to prioritize qualifications, proven technical competence, and quality performance over lowest cost.;A24;Contractor Selection & Performance;77
Poor or inadequate planning, scheduling, and resource allocation, resulting in task overlaps, conflicts, operational pressures, mismanagement, and errors that trigger rework.;C088;Adopt realistic scheduling practices, ensure sufficient allocation of time and resources, and avoid overly compressed timelines to enhance quality and reduce schedule-driven errors.;A03;Time & Planning;77
Insufficient skills, inadequate vocational training, limited experience, or poor competency among the workforce and supervisory staff, leading to mistakes, mismanagement, and rework.;C060;Provide targeted training, mentorship, continuous education, and effective knowledge management practices to build workforce capability and reduce human errors.;A23;Human Resources;77
Financial pressures from cost increases or strict cost requirements leading to disputes, cutting corners, and resulting in defects and rework.;C039;Adopt lean management practices and develop integrated frameworks to enhance collaboration and performance across the supply chain, fostering efficiency and reducing waste.;A02;Financial Constraints;78
Poor integration, coordination, and insufficient collaboration among stakeholders or supply chain actors, causing misaligned processes, documentation errors, and subsequent rework.;C083;Adopt lean management practices and develop integrated frameworks to enhance collaboration and performance across the supply chain, fostering efficiency and reducing waste.;A02;Communication;78
Insufficient skills, inadequate vocational training, limited experience, or poor competency among the workforce and supervisory staff, leading to mistakes, mismanagement, and rework.;C060;Provide targeted training, mentorship, continuous education, and effective knowledge management practices to build workforce capability and reduce human errors.;A23;Human Resources;78
Errors arising from ineffective or inadequate design processes, including poor communication, superficial reviews, insufficient quality management, fragmented teams, and resource constraints, leading to flawed or inconsistent designs.;C031;Enforce rigorous and early design review processes, implement clash detection and constructability analysis, and finalize project scope/design prior to construction to reduce mid-project changes and errors.;A09;Design;78
Delays or timeliness issues in communicating accurate, current, and necessary information, hindering decision-making, error detection, and timely correction.;C021;Adopt a structured error management culture focused on psychological safety, transparency, and collective learning to proactively manage errors rather than purely preventing them.;A01;Communication;78
Fragmented supply chains and weak, trust-deficient relationships among supply chain partners (including SMEs and larger contractors), resulting in poor collaboration, coordination issues, and compromised quality control.;C041;Adopt lean management practices and develop integrated frameworks to enhance collaboration and performance across the supply chain, fostering efficiency and reducing waste.;A02;Contractor Selection & Performance;78
Strategic and operational managerial decisions influenced by short-term financial pressures or neglecting systemic issues, creating latent conditions for errors and reducing effective quality oversight and coordination.;C099;Provide targeted training, mentorship, continuous education, and effective knowledge management practices to build workforce capability and reduce human errors.;A23;Management and Supervision;80
Poor integration, coordination, and insufficient collaboration among stakeholders or supply chain actors, causing misaligned processes, documentation errors, and subsequent rework.;C083;Promote authentic leadership and develop an organizational culture based on transparency, mutual respect, continuous improvement, psychological safety, and collaborative team-building.;A22;Communication;80
Failures or deficiencies in information transfer and misinterpretation of instructions among stakeholders, resulting in errors such as using incorrect drawings, incorrect materials, or incorrect specifications.;C037;Strengthen communication through regular coordination meetings, clear work instructions, and structured interdisciplinary collaboration to ensure effective information flow among project stakeholders.;A25;Communication;80
Time pressure caused by aggressive, unrealistic schedules and tight deadlines, forcing project teams to rush critical activities without sufficient time for quality assurance, error correction, or proper coordination.;C107;Adopt realistic scheduling practices, ensure sufficient allocation of time and resources, and avoid overly compressed timelines to enhance quality and reduce schedule-driven errors.;A03;Time & Planning;80
Unforeseen external events, such as natural disasters, social unrest, or unexpected interruptions, disrupting workflow and project progress.;C108;Adopt realistic scheduling practices, ensure sufficient allocation of time and resources, and avoid overly compressed timelines to enhance quality and reduce schedule-driven errors.;A03;External Influences;80
Low worker morale, inadequate motivation, lack of incentives, or poor recognition of employees contributing to reduced diligence, lower quality, and increased errors.;C072;Promote authentic leadership and develop an organizational culture based on transparency, mutual respect, continuous improvement, psychological safety, and collaborative team-building.;A22;Human Resources;80
Client-initiated changes or modifications in the project scope, design, or specifications during construction, requiring adjustments, redesign, demolition, or rework, often resulting in delays, increased complexity, and material wastage.;C017;Establish strict change management policies, including design and scope freezing, to limit alterations during project execution and maintain schedule integrity.;A15;Client-Driven Influences;80
Failures or deficiencies in information transfer and misinterpretation of instructions among stakeholders, resulting in errors such as using incorrect drawings, incorrect materials, or incorrect specifications.;C037;Advocate comprehensive organizational changes to work processes, policies, and practices rather than solely relying on technology upgrades to improve project outcomes and minimize errors.;A05;Communication;84
Deliberate underreporting, misrepresentation, or suppression of errors and nonconformance reports driven by blame avoidance, competitive pressures, or financial motives, leading to persistent issues and increased rework.;C023;Adopt a structured error management culture focused on psychological safety, transparency, and collective learning to proactively manage errors rather than purely preventing them.;A01;Management and Supervision;84
Ambiguous, incomplete, or erroneous contract and design documentation causing misunderstandings, misinterpretations, and subsequent rework during project execution.;C011;Enforce rigorous and early design review processes, implement clash detection and constructability analysis, and finalize project scope/design prior to construction to reduce mid-project changes and errors.;A09;Documentation & Information Management;84
Poor or ambiguous process management and low-quality construction technologies that indirectly lead to rework.;C087;Advocate comprehensive organizational changes to work processes, policies, and practices rather than solely relying on technology upgrades to improve project outcomes and minimize errors.;A05;Material Resources;84
Poor on-site management, inadequate oversight, supervision, and coordination of subcontractors, coupled with ineffective communication, resulting in errors and increased rework.;C086;Increase investment in comprehensive training programs and hire skilled or experienced personnel to ensure critical tasks are adequately staffed, improving overall workforce competence and reducing errors.;A20;Contractor Selection & Performance;85
Adverse natural conditions (extreme weather, earthquakes, floods), end-user requirement changes, and socio-cultural/legal/market influences.;C006;Develop and implement financial risk management strategies, robust contingency plans, and use technical and insurance measures to minimize financial risks and project disruptions.;A07;External Influences;85
Documentation discrepancies, incomplete records, or ambiguous contractual details leading to disputes, delays, or payment issues.;C029;Strengthen contract management practices, enforce clear contractual terms, and ensure timely payments and accountability through well-defined contracts and rigorous change orders.;A26;Documentation & Information Management;85
Poor on-site management, inadequate oversight, supervision, and coordination of subcontractors, coupled with ineffective communication, resulting in errors and increased rework.;C086;Strengthen subcontractor selection, training, and monitoring systems, and enforce clear accountability measures to ensure subcontractor adherence to quality standards.;A27;Contractor Selection & Performance;85
Errors arising from ineffective or inadequate design processes, including poor communication, superficial reviews, insufficient quality management, fragmented teams, and resource constraints, leading to flawed or inconsistent designs.;C031;Enforce rigorous and early design review processes, implement clash detection and constructability analysis, and finalize project scope/design prior to construction to reduce mid-project changes and errors.;A09;Design;85
Ineffective or inadequate communication channels and ambiguous information exchange among project stakeholders, resulting in misunderstandings, errors, documentation omissions, and conflicts during project execution.;C053;Implement formal, robust communication protocols and enhance information management systems to ensure accurate and timely dissemination of critical project information.;A18;Communication;85
Poor coordination, collaboration, communication, and clarity of responsibilities among project stakeholders, leading to misunderstandings, conflicting actions, and increased errors and rework.;C082;Implement comprehensive quality management systems, rigorous quality audits, and structured quality assurance processes to enhance project reliability and reduce rework.;A17;Management and Supervision;85
Time pressure caused by aggressive, unrealistic schedules and tight deadlines, forcing project teams to rush critical activities without sufficient time for quality assurance, error correction, or proper coordination.;C107;Enforce rigorous and early design review processes, implement clash detection and constructability analysis, and finalize project scope/design prior to construction to reduce mid-project changes and errors.;A09;Time & Planning;88
Poor coordination, collaboration, communication, and clarity of responsibilities among project stakeholders, leading to misunderstandings, conflicting actions, and increased errors and rework.;C082;Strengthen communication through regular coordination meetings, clear work instructions, and structured interdisciplinary collaboration to ensure effective information flow among project stakeholders.;A25;Management and Supervision;88
Errors arising from ineffective or inadequate design processes, including poor communication, superficial reviews, insufficient quality management, fragmented teams, and resource constraints, leading to flawed or inconsistent designs.;C031;Enforce rigorous and early design review processes, implement clash detection and constructability analysis, and finalize project scope/design prior to construction to reduce mid-project changes and errors.;A09;Design;88
Inadequate technical expertise, insufficient training, or lack of practical knowledge among project personnel, including designers and technical staff, leading to errors, omissions, and execution failures.;C049;Increase investment in comprehensive training programs and hire skilled or experienced personnel to ensure critical tasks are adequately staffed, improving overall workforce competence and reducing errors.;A20;Human Resources;88
Over-reliance or premature adoption of technology solutions without proper testing, justification, or adequate human validation, resulting in performance issues, unreliable outcomes, and errors.;C080;Ensure thorough testing, validation, and qualification of new technologies and innovations before full-scale implementation to mitigate technology-related rework risks.;A14;Technology Utilization;88
Selection of contractors or subcontractors based primarily on the lowest bid, without adequately evaluating qualifications, experience, or technical capability, leading to quality issues, inadequate performance, and subsequent rework.;C098;Revise procurement and contractor selection strategies to prioritize qualifications, proven technical competence, and quality performance over lowest cost.;A24;Contractor Selection & Performance;88
A lack of adherence or commitment to safety procedures, including deliberate violations, shortcuts, or complacency, leading to accidents, errors, and subsequent rework.;C002;Provide targeted training, mentorship, continuous education, and effective knowledge management practices to build workforce capability and reduce human errors.;A23;Safety Culture;88
Selection of contractors or subcontractors based primarily on the lowest bid, without adequately evaluating qualifications, experience, or technical capability, leading to quality issues, inadequate performance, and subsequent rework.;C098;Revise procurement and contractor selection strategies to prioritize qualifications, proven technical competence, and quality performance over lowest cost.;A24;Contractor Selection & Performance;89
Time pressure caused by aggressive, unrealistic schedules and tight deadlines, forcing project teams to rush critical activities without sufficient time for quality assurance, error correction, or proper coordination.;C107;Strengthen communication through regular coordination meetings, clear work instructions, and structured interdisciplinary collaboration to ensure effective information flow among project stakeholders.;A25;Time & Planning;89
Fragmented supply chains and weak, trust-deficient relationships among supply chain partners (including SMEs and larger contractors), resulting in poor collaboration, coordination issues, and compromised quality control.;C041;Adopt specialized contractors, integrated procurement strategies (e.g., alliance contracting), and foster long-term, collaborative partnerships to enhance project coordination and quality.;A04;Contractor Selection & Performance;89
Insufficient or ineffective sharing of error information and communication among project participants, delaying error detection, correction, and collective learning.;C058;Strengthen communication through regular coordination meetings, clear work instructions, and structured interdisciplinary collaboration to ensure effective information flow among project stakeholders.;A25;Documentation & Information Management;89
Low worker morale, inadequate motivation, lack of incentives, or poor recognition of employees contributing to reduced diligence, lower quality, and increased errors.;C072;Promote authentic leadership and develop an organizational culture based on transparency, mutual respect, continuous improvement, psychological safety, and collaborative team-building.;A22;Human Resources;89
Poor internal communication and insufficient dialogue or collaboration within the organization, causing delays, additional work, and ineffective decision-making.;C084;Adopt specialized contractors, integrated procurement strategies (e.g., alliance contracting), and foster long-term, collaborative partnerships to enhance project coordination and quality.;A04;Communication;89
Selection of contractors or subcontractors based primarily on the lowest bid, without adequately evaluating qualifications, experience, or technical capability, leading to quality issues, inadequate performance, and subsequent rework.;C098;Adopt specialized contractors, integrated procurement strategies (e.g., alliance contracting), and foster long-term, collaborative partnerships to enhance project coordination and quality.;A04;Contractor Selection & Performance;89
Limited adoption, underutilization, or ineffective integration of modern information technology and communication tools in project management and the supply chain, causing execution errors, inadequate data management, poor communication, and subsequent rework.;C070;Strengthen communication through regular coordination meetings, clear work instructions, and structured interdisciplinary collaboration to ensure effective information flow among project stakeholders.;A25;Technology Utilization;89
Client-initiated changes or modifications in the project scope, design, or specifications during construction, requiring adjustments, redesign, demolition, or rework, often resulting in delays, increased complexity, and material wastage.;C017;Ensure thorough initial client consultations and clearly document project objectives and requirements early to avoid subsequent scope misunderstandings and changes.;A13;Client-Driven Influences;91
Errors, omissions, or inaccuracies in design documents or technical specifications caused by tight deadlines, complexity, or insufficient coordination, necessitating corrections during construction.;C033;Implement comprehensive quality management systems, rigorous quality audits, and structured quality assurance processes to enhance project reliability and reduce rework.;A17;Design;91
Rushed design work resulting in inconsistencies and errors due to insufficient time for quality checks.;C096;Enforce rigorous and early design review processes, implement clash detection and constructability analysis, and finalize project scope/design prior to construction to reduce mid-project changes and errors.;A09;Design;91
Over-reliance or premature adoption of technology solutions without proper testing, justification, or adequate human validation, resulting in performance issues, unreliable outcomes, and errors.;C080;Implement advanced, ontology-based BIM technologies and automated compliance checking to enhance design quality, clarity, and reduce deviations from project specifications.;A16;Technology Utilization;91
The geographical distance between the project site and the contractors headquarters, affecting managerial oversight and quality control.;C102;Increase supervisory staffing levels, provide enhanced training, and strengthen accountability measures to improve oversight, timely intervention, and on-site quality control.;A21;Management and Supervision;91
Ambiguous, incomplete, or erroneous contract and design documentation causing misunderstandings, misinterpretations, and subsequent rework during project execution.;C011;Enforce rigorous and early design review processes, implement clash detection and constructability analysis, and finalize project scope/design prior to construction to reduce mid-project changes and errors.;A09;Documentation & Information Management;125
Ambiguous, incomplete, or erroneous contract and design documentation causing misunderstandings, misinterpretations, and subsequent rework during project execution.;C011;Implement comprehensive quality management systems, rigorous quality audits, and structured quality assurance processes to enhance project reliability and reduce rework.;A17;Documentation & Information Management;125
Inadequate or ineffective quality management systems and procedures, including insufficient implementation, monitoring, and control measures, leading to recurring defects and rework.;C047;Implement comprehensive quality management systems, rigorous quality audits, and structured quality assurance processes to enhance project reliability and reduce rework.;A17;Management and Supervision;125
"Rushed or incomplete design work due to unrealistic schedules and fixed time allocations (""time boxing"") regardless of task completeness, causing omissions and subsequent rework.";C097;Adopt realistic scheduling practices, ensure sufficient allocation of time and resources, and avoid overly compressed timelines to enhance quality and reduce schedule-driven errors.;A03;Time & Planning;125
Errors and rework driven by poor communication, misinterpretation, missing details, or misalignment between design deliverables and construction execution.;C030;Enforce rigorous and early design review processes, implement clash detection and constructability analysis, and finalize project scope/design prior to construction to reduce mid-project changes and errors.;A09;Design;125
Poor integration, coordination, and insufficient collaboration among stakeholders or supply chain actors, causing misaligned processes, documentation errors, and subsequent rework.;C083;Strengthen communication through regular coordination meetings, clear work instructions, and structured interdisciplinary collaboration to ensure effective information flow among project stakeholders.;A25;Communication;125
Poor or inadequate planning, scheduling, and resource allocation, resulting in task overlaps, conflicts, operational pressures, mismanagement, and errors that trigger rework.;C088;Implement comprehensive quality management systems, rigorous quality audits, and structured quality assurance processes to enhance project reliability and reduce rework.;A17;Time & Planning;125
Client-initiated changes or modifications in the project scope, design, or specifications during construction, requiring adjustments, redesign, demolition, or rework, often resulting in delays, increased complexity, and material wastage.;C017;Engage construction professionals and contractors early during the design stage to incorporate their insights, enhance constructability, and clarify client requirements, thereby reducing later-stage rework.;A12;Client-Driven Influences;125
Rework caused by unclear or changing project scope, inadequate initial planning, or insufficient integration of objectives into design, often leading to later modifications.;C095;Establish strict change management policies, including design and scope freezing, to limit alterations during project execution and maintain schedule integrity.;A15;Design;125
Limited adoption, underutilization, or ineffective integration of modern information technology and communication tools in project management and the supply chain, causing execution errors, inadequate data management, poor communication, and subsequent rework.;C070;Strengthen communication through regular coordination meetings, clear work instructions, and structured interdisciplinary collaboration to ensure effective information flow among project stakeholders.;A25;Technology Utilization;125
Insufficient skills, inadequate vocational training, limited experience, or poor competency among the workforce and supervisory staff, leading to mistakes, mismanagement, and rework.;C060;Increase investment in comprehensive training programs and hire skilled or experienced personnel to ensure critical tasks are adequately staffed, improving overall workforce competence and reducing errors.;A20;Human Resources;131
Failure to clearly articulate, understand, or communicate quality requirements, client needs, or expectations among stakeholders, leading to design changes and rework.;C035;Strengthen communication through regular coordination meetings, clear work instructions, and structured interdisciplinary collaboration to ensure effective information flow among project stakeholders.;A25;Communication;131
"Rushed or incomplete design work due to unrealistic schedules and fixed time allocations (""time boxing"") regardless of task completeness, causing omissions and subsequent rework.";C097;Adopt realistic scheduling practices, ensure sufficient allocation of time and resources, and avoid overly compressed timelines to enhance quality and reduce schedule-driven errors.;A03;Time & Planning;131
Errors arising from ineffective or inadequate design processes, including poor communication, superficial reviews, insufficient quality management, fragmented teams, and resource constraints, leading to flawed or inconsistent designs.;C031;Implement comprehensive quality management systems, rigorous quality audits, and structured quality assurance processes to enhance project reliability and reduce rework.;A17;Design;131
Ineffective communication and coordination among various stakeholders or between different disciplines (such as design teams, contractors, and operators), resulting in design changes, conflicts, misunderstandings, and ultimately rework.;C052;Strengthen communication through regular coordination meetings, clear work instructions, and structured interdisciplinary collaboration to ensure effective information flow among project stakeholders.;A25;Communication;131
Errors resulting from human limitations, intentional disregard of procedures, cognitive biases, negligence, fatigue, stress, or carelessness during project execution.;C032;Adopt realistic scheduling practices, ensure sufficient allocation of time and resources, and avoid overly compressed timelines to enhance quality and reduce schedule-driven errors.;A03;Human Resources;131
Errors arising from ineffective or inadequate design processes, including poor communication, superficial reviews, insufficient quality management, fragmented teams, and resource constraints, leading to flawed or inconsistent designs.;C031;Adopt realistic scheduling practices, ensure sufficient allocation of time and resources, and avoid overly compressed timelines to enhance quality and reduce schedule-driven errors.;A03;Design;131
