Charity_Legal_Name;Adress
DIVINE LIFE SOCIETY MELBOURNE INCORPORATED;16A Somerville Street   Melbourne Victoria
KANGAROO FLAT RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
HEALESVILLE RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee for THE WILLIAM & MARLENE SCHRADER TRUST;L 4 294-296 Collins St   Melbourne Victoria
Family Law Legal Service Inc;L 10 277 William St   Melbourne Victoria
The Trustee For Estate Of Victor Ashton Fox;L 10 114 William St   Melbourne Victoria
ROSEBUD RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Irving Mabel Edith Bequest;209 Flinders Lane   Melbourne VIC
The Trustee For The Robert Salzer Foundation;L 16 379 Collins St   Melbourne Victoria
Deaf Children Australia;Deaf Children Australia 597 St Kilda Road  Melbourne VIC
Indigenous Education Foundation Limited;U 303 442 St Kilda Rd   Melbourne Victoria
The Trustee For Arthur L Shaw Bequest;209 Flinders Lane   Melbourne VIC
SXC INC;538-544 Collins St   Melbourne Victoria
Cultural Development Network Ltd.;Level 1 168 La Trobe Street RMIT Building 24 Melbourne VIC
The Trustee For Auda Foundation;L 17 1 Collins St   Melbourne Victoria
Alternative Technology Association Inc.;L 1 39 Little Collins St   Melbourne Victoria
RSA ANZ LIMITED;U 805 220 Collins St   Melbourne Victoria
GLOBAL SECURITY FOUNDATION LIMITED;L 17 31 Queen St   Melbourne Victoria
Stratford RSL Sub-Branch Welfare Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Old Treasury Building Reserve Committee Of Management Inc;20 Spring Street   Melbourne VIC
BLACKBURN RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For The Diggers Foundation;L 32 360 Collins St   Melbourne Victoria
The Trustee for HousingFirst Subtrust 1 Trust;L 3 Se 3 492 St Kilda Rd   Melbourne Victoria
Australian Academy Of Technological Sciences And Engineering Limited;L 6 436 St Kilda Rd   Melbourne Victoria
Global Citizen Limited;L 4 152 Elizabeth St   Melbourne Victoria
COMMUNITY SOCIAL DEVELOPMENT INTERNATIONAL LTD;247-251 Flinders Lane   Melbourne Victoria
RSL State Wide Building Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
THE TRUSTEE FOR THE GEORGE ALEXANDER FOUNDATION;L 3 111 Collins St   Melbourne Victoria
St Martin's Deepdene Theological Education Fund;209 Flinders Lane   Melbourne VIC
Australasian Tuberculosis Forum;792 Elizabeth St   Melbourne Victoria
Mornington Peninsula Foundation Limited;97 Spring St   Melbourne Victoria
JIFUNZE INTERNATIONAL LTD;U 606 115 Swanston St   Melbourne Victoria
BELZ CHARITIES LTD;Se 211 430 Little Collins St   Melbourne Victoria
Prepped Smart And Healthy Incorporated;Po Box 25111   Melbourne Victoria
Barristers' Benevolent Foundation of Victoria;Level 5 205 William Street  Melbourne VIC
BORONIA  RSL SUB-BRANCH  PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Ashton Smith Singers Of Australia;L 3 Se 35 12 Collins St   Melbourne Victoria
ALTONA RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
WERRIBEE RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Bladder Cancer Australia Charity Foundation Inc.;suite 7 level 27 101 Collins Street Melbourne Victoria
The Trustee For Louisa C F Hindson Estate;209 Flinders Lane   Melbourne VIC
East Timor Hearts Fund;L 12 469 La Trobe St   Melbourne Victoria
The Trustee For The Kajji Foundation;L 9 461 Bourke St   Melbourne Victoria
Commons Library Limited;L 10 555 Lonsdale St   Melbourne Victoria
ARARAT RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Clunes RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
HOTHAM STREET MEN'S SHED LTD;430 Little Collins St   Melbourne Victoria
The Trustee For James And John Edgcumbe Memorial Fund;209 Flinders Lane   Melbourne VIC
The Trustee For Bjarne Klaus Dahl Trust;8 La Trobe St   Melbourne Victoria
The Alex and Eva Berkovic Charitable Trust;L 6 470 Collins St   Melbourne Victoria
COLAC RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Animal Liberation Victoria Inc.;Level 8, 805220 Collins Street   Melbourne Victoria
General Practice Registrars Australia Limited;L 1 Se 101 517 Flinders Lane   Melbourne Victoria
Trust For Nature (Victoria);L 5 379 Collins St   Melbourne Victoria
Kiewa RSl Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Albert & Barbara Tucker Foundation;L 15 440 Collins St   Melbourne Victoria
Essendon RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For Educational Endowment Fund;209 Flinders Lane   Melbourne VIC
Southern Rivers Community Services;247-251 Flinders Lane   Melbourne Victoria
The Hughie Hughes Charitable Fund;L 10 530 Collins St   Melbourne Victoria
Omeo RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For St Augustines Mentone Ordination Trust Fund;209 Flinders Lane   Melbourne VIC
BLINDSIDE ARTIST RUN SPACE INC;Room   Melbourne VIC
The Trustee For Victorian Community Foundation;Lvl 2, 575 Bourke St   Melbourne Victoria
Hume Veterans Information Centre;ANZAC House 4 Collins Street   MELBOURNE VIC
Dookie RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For Church Centenary Endowment Fund;209 Flinders Lane   Melbourne VIC
Melbourne Grammar School;Domain Road   Melbourne VIC
Rmit Training Pty Ltd;Level 11 235 - 251 Bourke Street  Melbourne VIC
The Trustee For Queen Victoria Women's Centre Trust;210 Lonsdale St   Melbourne Victoria
Big Issue In Australia Limited;B 227 Collins St   Melbourne Victoria
The Trustee For The Australian Psychological Society Fund For The Financial Assistance Of People Of Aboriginal And Torres Strait Islander Descent;L 13 257 Collins St   Melbourne Victoria
Wellbeing and the Law Foundation Ltd.;L 13 140 William St   Melbourne Victoria
BALLARAT RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Cancer Council Victoria;615 St Kilda Rd   Melbourne Victoria
Spotswood and Kingsville RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
EAST MALVERN RSL SUB-BRANCH  PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For John And Elaine King Foundation Trust;L 12 31 Queen St   Melbourne Victoria
The Two Sisters Foundation;L 10 530 Collins St   Melbourne Victoria
Melbourne St Paul - Music & Choir;209 Flinders Lane   Melbourne VIC
GREENSBOROUGH RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Richard Wagner Society Incorporated;P O Box 7367   Melbourne Victoria
Australian Community Workers Foundation;L 2 Se 4 190 Queen St   Melbourne Victoria
Birch A G Estate;209 Flinders Lane   Melbourne VIC
The Royal Society Of Victoria Incorporated;8 La Trobe St   Melbourne Victoria
Jellis Craig Group Foundation Ltd;Level One 500 Collins Street  Melbourne VIC
The Trustee For Alter Family Foundation;L 10 530 Collins St   Melbourne Victoria
BENALLA RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
FISH CREEK RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Avenel RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Interchange Inner East Assoc Inc;Suite1437 Canterbury Road,Surrey Hills, VIC  Melbourne VIC
RETURNED & SERVICES LEAGUE OF AUSTRALIA VIC BRANCH INC - LILYDALE WELFARE PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Accounting Professional & Ethical Standards Board Limited;L 11 99 William St   Melbourne Victoria
Foundation 36 Trust;L 2 480 St Kilda Rd   Melbourne Victoria
Kinfolk Enterprise;673 Bourke St   Melbourne Victoria
Red Earth Spirit;470 St Kilda Rd   Melbourne VIC
Residential Care Rights Inc;L 8 167 Queen St   Melbourne Victoria
Behind The Barriers Ltd;U 602 469 St Kilda Rd   Melbourne Victoria
Royal Melbourne Institute Of Technology Business Students' Association Foundation Incorporated;G761 Mackenzie Street   MELBOURNE VIC
Lord Mayor's Charitable Fund;Level 15 1 Collins Street   Melbourne VIC
Australian Multi-Cultural Communities United Limited;U 706  442 ST KILDA RD   MELBOURNE VICTORIA
The Women Of The University Fund Inc;The Mews Government House Grounds  Melbourne VIC
Alexandra Rsl Sub-Branch Building Patriotic Fund No 2578;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For Hma Foundation;L 12 114 William St   Melbourne Victoria
The Trustee For The Creswick Foundation;L 10 530 Collins St   Melbourne Victoria
Monash College Pty Ltd;Level 3 222 Bourke Street  Melbourne Vic
Women's Property Initiatives Ltd;L 1 22 William St   Melbourne Victoria
Victoria Law Foundation;L 5 43 Hardware Lane   Melbourne Victoria
AUSTRALIAN INSTITUTE OF ARCHITECTS FOUNDATION;Level 1, 41 Exhibition Street   Melbourne VIC
Australian Passive House Association Limited;Level 6 99 Kings St   Melbourne VIC
Brain Injury Matters Incorporated;247-251 Flinders Lane   Melbourne Victoria
Disabled Wintersports Australia Incorporated;247-251 Flinders Lane   Melbourne Victoria
The Barnett Foundation Limited;L 2 141 Flinders Lane   Melbourne Victoria
GEN: POLITICS LTD;U 3408 5 Sutherland St   Melbourne Victoria
John F Marriott for HIV Trust;Alfred Hospital   Melbourne Victoria
The Leg-Up Foundation;L 6 Se 2 432 St Kilda Rd   Melbourne Victoria
The Trustee For Wesley College Foundation Ltd Building Fund;Wesley College   Melbourne Victoria
Australasian Sonographers Association Ltd;L 2 Se 2 93-95 Queen St   Melbourne Victoria
CCI Asset Management Limited;L 8 485 La Trobe St   Melbourne Victoria
Aged & Community Services Australia Incorporated;Suite 3, Level 6 24 Collins Street  MELBOURNE VIC
Australian Davos Connection Limited;L 5 114 Flinders St   Melbourne Victoria
Deaf Services Australia Ltd;597 St Kilda Road   Melbourne VIC
Australasian Society For Bipolar And Depressive Disorders Ltd;Level 16 120 Spencer Street  Melbourne Victoria
The Animal Law Institute Ltd.;Ross House 247-251 Flinders Lane  Melbourne Victoria
COBRAMBAROOGA RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For St Lukes South Melbourne Trust;209 Flinders Lane   Melbourne VIC
UN Youth Victoria Inc.;L 2 235 Queen St   Melbourne Victoria
The Trustee For Victorian Community Foundation Arts Access Trust;Lvl 2, 575 Bourke St   Melbourne Victoria
Uc Gospel Hall Melbourne;196 Little Bourke St   Melbourne Victoria
The Trustee For J P Bainbridge Bequest;209 Flinders Lane   Melbourne VIC
Second Chance Foundation Inc.;Level 1 174 Queen Street  Melbourne VIC
The Trustee For The Ian Potter Cultural Trust;L 3 111 Collins St   Melbourne Victoria
The Trustee For L C Archer Bequest;209 Flinders Lane   Melbourne VIC
Alcohol and Drug Foundation Inc;L 12 607 Bourke St   Melbourne Victoria
International Council For Local Environmental Initiatives - AustraliaNew Zealand Limited;L 8 225 Bourke St   Melbourne Victoria
Warracknabeal Rsl Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Tatura RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
The Warlow-Shill Family Charitable Trust;Se 211 430 Little Collins St   Melbourne Victoria
Gospel Hall Incorporated;116 Little Bourke St   Melbourne Victoria
William Angliss Institute Of Tafe;555 La Trobe St   Melbourne Victoria
The Council For Anglican Early Childhood Services;209 Flinders Lane   Melbourne VIC
The Trustee For F W Slade Scholarship Fund;209 Flinders Lane   Melbourne VIC
Spiritual Health Association Limited;Suite 9 Level 2 222 Lonsdale St Melbourne Victoria
The Asia-Pacific Association for International Education Ltd;U 805 220 Collins St   Melbourne Victoria
HUMANISTS AUSTRALIA LIMITED;Ross House 247-251 Flinders Lane  Melbourne VIC
VETERAN COMMUNITY SERVICES LTD;293 Swanston St   Melbourne Victoria
FlemingtonKensington RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Rare Books Melbourne Incorporated;156 Collins St   Melbourne Victoria
Caroline Chisholm Library Inc;L 3 358 Lonsdale St   Melbourne Victoria
Carry On (Victoria);L 8 1 Elizabeth St   Melbourne Victoria
The Crafts Council Of Victoria Limited;Lower Ground, 171 Collins St  Melbourne VIC
The Trustee For Victorian Community Foundation;Lvl 2, 575 Bourke St   Melbourne Victoria
HORSHAM RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Financial Counselling Australia Ltd;L 6 179 Queen St   Melbourne Victoria
Graeme Clark Foundation Ltd;L 22 140 William St   Melbourne Victoria
Mental Health Professionals Network Ltd;L 6 257 Collins St   Melbourne Victoria
Cambridge English (Aus);L 17 452 Flinders St   Melbourne Victoria
Impact Investing Australia Ltd;L 19 114 William St   Melbourne Victoria
CTx CRC Limited;305 Grattan St   Melbourne Victoria
Cowles Est J H P Legacy;209 Flinders Lane   Melbourne VIC
The Trustee For The Edward John George & Mary Haddon George Bequest;209 Flinders Lane   Melbourne VIC
The Trustee For Australian Jewish Welfare & Relief Society Inc Trust;619 St Kilda Rd   Melbourne Victoria
Inter Church Trade And Industry Mission Research Fund Victoria;L16  180 Lonsdale Street Melbourne Victoria
DUNOLLYBEALIBA RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
NORLANE RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Helen Amelia Hains Foundation;8 Collins St   Melbourne Victoria
Murfett Charitable Trust;L 1 575 Bourke St   Melbourne Victoria
The Royal Australian and New Zealand College of Psychiatrists;309 La Trobe St   Melbourne Victoria
V C F Account Ruth Fagg Foundation Trust;Lvl 2, 575 Bourke St   Melbourne Victoria
KYNETON RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
THE RETURNED AND SERVICES LEAGUE OF AUSTRALIA VICTORIAN BRANCH - KOO WEE RUP WELFARE PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For Mrs William Gibb Memorial Scholarship Fund;209 Flinders Lane   Melbourne VIC
The Trustee For Grace Marion Wilson Estate;8th Floor 221 Queen Street  Melbourne VIC
IOOF Foundation;L 6 161 Collins St   Melbourne Victoria
The Trustee For Emma M Knee Bequest;209 Flinders Lane   Melbourne VIC
Heart And Lung Transplant Trust (Vic) Incorporated;Po Box 25036   Melbourne Victoria
Asian Australian Foundation Ltd;c- Accounting Solutions (Melbourne) Level 20, 350 Queen Street  Melbourne VIC
Victorian Pride Centre Ltd;L 11 525s Collins St   Melbourne Victoria
Disability Housing Limited;Level 3, 350 Queen Street   Melbourne VIC
Uniting Housing (Victoria) Limited;Level 4, 130 Lonsdale Street   Melbourne Victoria
The Trustee For The Victorian Community Foundation - Holsworth Local Heritage Trust;Lvl 2, 575 Bourke St   Melbourne Victoria
Unison Property Corporation Pty Ltd;117 Berkeley St   Melbourne Victoria
International Fiscal Association Australia Limited;L 21 333 Collins St   Melbourne Victoria
FRANKSTON RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
STRATFORD RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee for the veski Foundation;L 2 116 Hardware St   Melbourne Victoria
DIAL BEFORE YOU DIG VICTAS LTD;L 8 401 Collins St   Melbourne Victoria
Jenkinson - Clerics Trust;209 Flinders Lane   Melbourne VIC
The Trustee For Victorian Community Foundation;Lvl 2, 575 Bourke St   Melbourne Victoria
Anderson Cyril Douglas Bequest;209 Flinders Lane   Melbourne VIC
Australian Dental Council Limited;L 6 469 La Trobe St   Melbourne Victoria
Melbourne Anglican Youth Ministry Fund;209 Flinders Lane   Melbourne Victoria
Mornington RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Community Rebuilding Trust;L 1 575 Bourke St   Melbourne Victoria
The Flora & Frank Leith Charitable Trust;L 4 379 Collins St   Melbourne Victoria
Hotel Care Foundation (Vic);L 1 1 Little Collins St   Melbourne Victoria
MELANOMA AND SKIN CANCER TRIALS LIMITED;Level 2, 553 St Kilda Road   Melbourne VIC
LEONGATHA RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For A G Barber Gift Wallan East;209 Flinders Lane   Melbourne VIC
Be Blue Rock Foundation;L 16 414 La Trobe St   Melbourne Victoria
The Anthony and Clare Cross Foundation;L 10 530 Collins St   Melbourne Victoria
Law Aid Scheme;205 William Street   Melbourne VIC
Diabetes Victoria;568-574 Elizabeth St   Melbourne Victoria
The Trustee For Isabella Burgess Bequest;209 Flinders Lane   Melbourne VIC
SORRENTO-PORTSEA RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Aboriginal Literacy Foundation Inc;247-251 Flinders Lane   Melbourne Victoria
Mietta Foundation Inc;Level 12, 171 La Trobe St   Melbourne Victoria
The Returned & Services League Of Australia Victoria Branch;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For The Bird Family Bequests;31-33 Bourke St   Melbourne Victoria
Advocacy for Oromia Association in Victoria Australia Inc;247-251 Flinders Lane   Melbourne Victoria
Melbourne Art Trust;200 Little Collins St   Melbourne Victoria
Chain Reaction Challenge Foundation;L 31 525s Collins St   Melbourne Victoria
The Animal Welfare Foundation Of Australia;DW Accounting and Advisory PO Box 253 Collins Street West  Melbourne VIC
Australian Food Allergy Foundation Ltd;L 2 362 Little Collins St   Melbourne Victoria
Georges Mora Foundation;L 2 377 Little Lonsdale St   Melbourne Victoria
The Trustee For Mackie Bequest;L 28 140 William St   Melbourne Victoria
The Cass Foundation Limited;L 2 111 Collins St   Melbourne Victoria
Goldhirsch Charitable Foundation;co Slomoi Partners Pty Ltd Suite 1, Level 6, 470 Collins Street  Melbourne VIC
The Trustee For Estate F C Pridmore;L 3 389 Lonsdale St   Melbourne Victoria
Echuca Moama RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
NHILL RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Koorie Heritage Trust Inc;L3 Yarra Building Federation Square Cnr Flinders & Swanston Streets  Melbourne VIC
KORUMBURRA RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
HOUSING ALL AUSTRALIANS LIMITED;Chambers and Partners Level 4, 437 St Kilda Road  MELBOURNE VIC
Homegrown Communities Limited;L 8 136 Exhibition St   Melbourne Victoria
Star Victoria Inc;247-251 Flinders Lane   Melbourne Victoria
MOE RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Australian Association of Islamic and Muslim Studies (AAIMS) Incorporated;215 Spring St   Melbourne Victoria
The Trustee for the EDITH COWAN UNIVERSITY HOLD TRUST;L 10 530 Collins St   Melbourne Victoria
Australian Unity Trustees Foundation;Level 12 271 Spring St  Melbourne VIC
MIRBOO NORTH RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For Florence And Clive Walsh Gentlewomens Aid Fund;209 Flinders Lane   Melbourne VIC
Unison Housing Limited;117 Berkeley St   Melbourne Victoria
Moore Isabella Bequest;209 Flinders Lane   Melbourne VIC
Australia and New Zealand Sarcoma Association Limited;Level 1 305 Grattan Street Victoria  Melbourne VIC
MONTMORENCY RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Prince's Trust Australia Limited;Level 3, 480 Collins St   Melbourne Victoria
Lang Lang RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
PHILLIP ISLAND RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Epilepsy Society Of Australia Ltd.;L 6 99 Commercial Rd   Melbourne Victoria
City On A Hill Movement Limited;G 262 Queen St   Melbourne Victoria
Dorman Family Foundation;Po Box 6325   Melbourne Victoria
The Trustee For The Kilfera Foundation;L 2 Se 3 612-616 St Kilda Rd   Melbourne Victoria
The Trustee For The Susan Larter Vision Trust;Suite 1:07 2 - 8 Queen St  Melbourne VIC
Returned & Services League of Australia (Victorian Branch) Inc.;ANZAC House 4 Collins Street   MELBOURNE VIC
The Australasian College Of Behavioural Optometrists Incorporated;L 1 SE 7 2-8 Queen St  Melbourne VIC
The Trustees Of The Blessed Sacrament Fathers;326 Lonsdale St   Melbourne Victoria
RMIT Holdings Pty Ltd;124 La Trobe St   Melbourne Victoria
Ethiopiaid Australia Ltd;Level 3 484 St Kilda Road  Melbourne VIC
GENERATION 1 MIGRANT ASSOCIATION INC.;U 706  442 ST KILDA RD   MELBOURNE VICTORIA
Aged-care Legal Advocacy & Reform Matter (ALARM) Incorporated;Level 6 432 St Kilda Road  Melbourne 
Diamond Creek RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For The Gray Family Charitable Trust;LEVEL ONE 500 COLLINS STREET  MELBOURNE VIC
Sharp H R Bequest;209 Flinders Lane   Melbourne VIC
Job Watch Inc;L 10 21 Victoria St   Melbourne Victoria
Zodiak Holdings Pty. Ltd.;G17, 566 St Kilda Rd   Melbourne VIC
The Trustee For The Persephone Foundation;L 11 470 Collins St   Melbourne Victoria
The Filipino Choir of St Francis Incorporated;326 Lonsdale St   Melbourne Victoria
Council For The Humanities Arts And Social Sciences;Building 37 411 Swanston Street  Melbourne VIC
Institution Of Chemical Engineers;L 7 455 Bourke St   Melbourne Victoria
Children's Rights International;L 12 460 Lonsdale St   Melbourne Victoria
SuperFriend - Industry Funds' Mental Health Initiative;L 2 157 Spring St   Melbourne Victoria
Forest And Wood Products Australia Limited;L 11 10-16 Queen St   Melbourne Victoria
Winchelsea St Thomas Bambra;209 Flinders Lane   Melbourne VIC
Funflight Limited;L 8 180 Russell St   Melbourne Victoria
The Trustee For The Gordon Darling Foundation;PO Box 7496 St Kilda Road Post Office  Melbourne VIC
The Anglican Diocese Of Melbourne Migrants And Refugees Settlement Fund;209 Flinders Lane   Melbourne Victoria
Climate And Health Alliance;Suite 4.9, Level 4 Melbourne, Victoria  Melbourne VIC
The Trustee For The Sidney Myer Fund;Level 7, 171 Collins Street   Melbourne Victoria
SnrPreneurs Pty Ltd;131 Queen St   Melbourne Victoria
EBRB 1 (ASSEMBLE X HCA) LTD;L 3 350 Queen St   Melbourne Victoria
Summer Housing Impact SDA Trust;Level 35, 477 Collins Street   Melbourne VIC
STAWELL RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
St Francis Choir Inc;326 Lonsdale St   Melbourne Victoria
Australian Volunteers Support Trust;L 1 575 Bourke St   Melbourne Victoria
Catholic Church Insurance Limited;L 8 485 La Trobe St   Melbourne Victoria
Friends Of Grammar Inc - Swap Shop;The Lodge, Melbourne Grammar School 355 St Kilda Road  Melbourne VIC
Ovarian Cancer Australia Limited;L 1 210 Lonsdale St   Melbourne Victoria
People and Parks Foundation;L 10 535 Bourke St   Melbourne Victoria
Centre for Australian Progress Ltd;The Commons 3 Albert Coates Lane  Melbourne Victoria
Q C F Account Langford W A & D J Trust;Lvl 2, 575 Bourke St   Melbourne Victoria
Eyes For Africa Charitable Foundation;L 14 565 Bourke St   Melbourne Victoria
Community Music Victoria Inc;247-251 Flinders Lane   Melbourne Victoria
Australian and New Zealand Society for Immunology Incorporated;PO Box 7345 Beaumaris  Melbourne VIC
Australian Dairy Industry Council Inc;L 2 22 William St   Melbourne Victoria
The Trustee For Campbellfield Lands Trust;209 Flinders Lane   Melbourne VIC
Victorian Community Foundation;Lvl 2, 575 Bourke St   Melbourne Victoria
Victorian Community Foundation A C Anz Fund;Lvl 2, 575 Bourke St   Melbourne Victoria
Benjamin Duncan Foundation;477 Collins Street   Melbourne Victoria
Australian Poetry Limited;176 Lonsdale St   Melbourne Victoria
SEA LAKE RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
ROKEWOOD RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For Winifred May Lees Memorial Fund;209 Flinders Lane   Melbourne VIC
Wound Healing Institute Australia Ltd;L16, 356 COLLINS ST   MELBOURNE VIC
Empowered Together Incorporated;L 2 287-293 Collins St   Melbourne Victoria
GEELONG RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
ANGLESEA RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For The Baker Foundation;L 1 575 Bourke St   Melbourne Victoria
THE TRUSTEE FOR THE IAN POTTER FOUNDATION;L 3 111 Collins St   Melbourne Victoria
Safe and Equal Inc;L 2 210 Lonsdale St   Melbourne Victoria
Crestrust Nominees Pty. Ltd.;L 10 530 Collins St   Melbourne Victoria
Legacy Melbourne;L 1 293 Swanston St   Melbourne Victoria
General Sir John Monash Foundation;9 Queen St   Melbourne Victoria
Jewish Care (Victoria) Inc;619 St Kilda Rd   Melbourne Victoria
The Friends Of The Royal Botanic Gardens Melbourne Trust Fund;100 Birdwood Ave   Melbourne Victoria
Queensland Community Foundation;Lvl 2, 575 Bourke St   Melbourne Victoria
Romsey-Lancefield RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
DannRayner Fund For Theological Education;209 Flinders Lane   Melbourne VIC
Disability Resources Centre Inc;Level 4, Ross House 247-251 Flinders Lane  Melbourne VIC
Transitions Film Festival Limited;L 3 225 Bourke St   Melbourne Victoria
AUSTRALIAN TOY ASSOCIATION CHARITABLE FOUNDATION LIMITED;L 4 Se 6 448 St Kilda Rd   Melbourne Victoria
St Francis Choir Foundation;326 Lonsdale St   Melbourne Victoria
AUSTRALASIAN REHABILITATION NURSES' ASSOCIATION LTD.;L 11 456 Lonsdale St   Melbourne Victoria
BRIGHT RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Doncaster RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
KEILOR EAST RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
INVERLOCH RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For Ethiopiaid Australia Foundation;484 St Kilda Rd   Melbourne Victoria
Travellers Aid Australia;L 3 225 Bourke St   Melbourne Victoria
The George & Mary Shepherd Foundation;L 2 105 Queen St   Melbourne Victoria
Mental Health Victoria Ltd;6136 Exhibition Street   Melbourne Victoria
Runaboard Fund;Po Box 33328   Melbourne Victoria
V C F Account Rch Diabetic Childrens Charities Trust;Lvl 2, 575 Bourke St   Melbourne Victoria
Philanthropy Australia Ltd;L 2 55 Collins St   Melbourne Victoria
WLT Australia Limited;L 32 360 Collins St   Melbourne Victoria
International Christian Embassy Jerusalem Ltd;L 40 140 William St   Melbourne Victoria
